序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
,iDataBuf[99],INT,,0,,,,,
,iDataBuf[100],INT,,0,,,,,
,iDataBuf[101],INT,,0,,,,,
,iDataBuf[102],INT,,0,,,,,
,iDataBuf[103],INT,,0,,,,,
,iDataBuf[104],INT,,0,,,,,
,iDataBuf[105],INT,,0,,,,,
,iDataBuf[106],INT,,0,,,,,
,iDataBuf[107],INT,,0,,,,,
,iDataBuf[108],INT,,0,,,,,
,iDataBuf[109],INT,,0,,,,,
,iDataBuf[110],INT,,0,,,,,
,iDataBuf[111],INT,,0,,,,,
,iDataBuf[112],INT,,0,,,,,
,iDataBuf[113],INT,,0,,,,,
,iDataBuf[114],INT,,0,,,,,
,iDataBuf[115],INT,,0,,,,,
,iDataBuf[116],INT,,0,,,,,
,iDataBuf[117],INT,,0,,,,,
,iDataBuf[118],INT,,0,,,,,
,iDataBuf[119],INT,,0,,,,,
,iDataBuf[120],INT,,0,,,,,
,iDataBuf[121],INT,,0,,,,,
,iDataBuf[122],INT,,0,,,,,
,iDataBuf[123],INT,,0,,,,,
,iDataBuf[124],INT,,0,,,,,
,iDataBuf[125],INT,,0,,,,,
,iDataBuf[126],INT,,0,,,,,
,iDataBuf[127],INT,,0,,,,,
19,bRdDataDone,BOOL,,OFF,不保持,私有,,,
20,bRdDataError,BOOL,,OFF,不保持,私有,,,
21,ModuleSel,INT,,0,不保持,私有,,,
22,bAOCal_Start,BOOL,,OFF,不保持,私有,,,
23,iZioAOSel,INT,,0,不保持,私有,,,
24,iAOCalPntRet,INT,,0,不保持,私有,,,
25,iAOCal_Pnt_Max,INT,,6,不保持,私有,,,
26,bAOCalTimeOut,BOOL,,OFF,不保持,私有,,,
27,diAOCalTimeout,DINT,,0,不保持,私有,,,
28,TPR2_En,BOOL,,OFF,不保持,私有,,,
29,TPR2_PT,DINT,,0,不保持,私有,,,
30,TPR2_Rst,BOOL,,OFF,不保持,私有,,,
31,TPR2_ET,DINT,,0,不保持,私有,,,
32,TPR2_Q,BOOL,,OFF,不保持,私有,,,
33,bDebug,BOOL,,OFF,不保持,私有,,,
34,iZioAOItem,INT,,0,不保持,私有,,,
35,xAOCalSuccess,BOOL,,OFF,不保持,私有,,,
36,xAOCalFailed,BOOL,,OFF,不保持,私有,,,
37,xCalAgain,BOOL,,OFF,不保持,私有,,,
38,xCalAgainConfirm,BOOL,,OFF,不保持,私有,,,
39,iZioAIItem,INT,,0,不保持,私有,,,
40,iZioAISel,INT,,0,不保持,私有,,,
41,iZioDOItem,INT,,0,不保持,私有,,,
42,iZioTestState,INT,,0,不保持,私有,,,
43,iDOTestState,INT,,0,不保持,私有,,,
44,iZioDOSel,INT,,0,不保持,私有,,,
45,bDOTestFailed,BOOL,,OFF,,,,,
46,bDOTestSuccess,BOOL,,OFF,,,,,
47,iBarCnt,INT,,0,,,,,
48,TPR3_En,BOOL,,OFF,,,,,
49,TPR3_PT,DINT,,0,,,,,
50,TPR3_Rst,BOOL,,OFF,,,,,
51,TPR3_Q,BOOL,,OFF,,,,,
52,TPR3_ET,DINT,,0,,,,,
53,i,INT,,0,,,,,
54,xDO_N,BOOL[16],,,,,,,
,xDO_N[0],BOOL,,OFF,,,,,
,xDO_N[1],BOOL,,OFF,,,,,
,xDO_N[2],BOOL,,OFF,,,,,
,xDO_N[3],BOOL,,OFF,,,,,
,xDO_N[4],BOOL,,OFF,,,,,
,xDO_N[5],BOOL,,OFF,,,,,
,xDO_N[6],BOOL,,OFF,,,,,
,xDO_N[7],BOOL,,OFF,,,,,
,xDO_N[8],BOOL,,OFF,,,,,
,xDO_N[9],BOOL,,OFF,,,,,
,xDO_N[10],BOOL,,OFF,,,,,
,xDO_N[11],BOOL,,OFF,,,,,
,xDO_N[12],BOOL,,OFF,,,,,
,xDO_N[13],BOOL,,OFF,,,,,
,xDO_N[14],BOOL,,OFF,,,,,
,xDO_N[15],BOOL,,OFF,,,,,
55,xDO_P,BOOL[16],,,,,,,
,xDO_P[0],BOOL,,OFF,,,,,
,xDO_P[1],BOOL,,OFF,,,,,
