#变量导出文件（汇川）
#2025-06-18 18:04:23
#AutoShop:EasyMonitor{EB94048B-7C2C-4d7a-A080-A272E8B0B981}
#列A:名称
#列B:连接（如果为空，则是内部连接）
#列C:数据类型（取决于连接，有以下几种类型：Int16 、UInt16、Int32、UInt32、Float、Double、Bool、String、WString、DateTime，类型区分大小写。）
#列D:长度
#列E:数组计数
#列F:地址（取决于连接，寄存器名和数字之间的空格不能缺少。）
#列G:采集周期
#列H:采集模式（=根据命令1=循环使用（默认值）2=循环连续）
#列I:上限
#列J:下限
#列K:初始值（初始值类型取决于变量数据类型）
#列L:注释
#列M:变量组Id

名称,连接,数据类型,长度,数组计数,地址,采集周期,采集模式,上限,下限,初始值,注释,变量组Id
"iDataBuf[124]",,"Int16","2","1","UW 2102910","100ms","1",,,,"","1"
"iDataBuf[125]",,"Int16","2","1","UW 2102920","100ms","1",,,,"","1"
"iDataBuf[126]",,"Int16","2","1","UW 2102930","100ms","1",,,,"","1"
"iDataBuf[127]",,"Int16","2","1","UW 2102940","100ms","1",,,,"","1"
"xRdDataDone",,"Bool","1","1","UB 21000C6","100ms","1",,,,"","1"
"xRdDataError",,"Bool","1","1","UB 21000C7","100ms","1",,,,"","1"
"dwRdDataErrorID",,"Int16","2","1","UW 2103630","100ms","1",,,,"","1"
"ModuleSel",,"Int16","2","1","UW 21072C0","100ms","1",,,,"","1"
"bAOCal_Start",,"Bool","1","1","UB 21000A0","100ms","1",,,,"","1"
"iZioAOSel",,"Int16","2","1","UW 2101A80","100ms","1",,,,"","1"
"iAOCalPntRet",,"Int16","2","1","UW 21007B0","100ms","1",,,,"","1"
"iAOCal_Pnt_Max",,"Int16","2","1","UW 2101960","100ms","1",,,,"","1"
"xAOCalTimeOut",,"Bool","1","1","UB 21000A4","100ms","1",,,,"","1"
"diAOCalTimeout",,"Int32","4","1","UW 21019E0","100ms","1",,,,"模拟量输出模块校准超时时间","1"
"TPR2_En",,"Bool","1","1","UB 21000A5","100ms","1",,,,"","1"
"TPR2_PT",,"Int32","4","1","UW 2101A00","100ms","1",,,,"","1"
"TPR2_Rst",,"Bool","1","1","UB 21000A6","100ms","1",,,,"","1"
"TPR2_ET",,"Int32","4","1","UW 2101A20","100ms","1",,,,"","1"
"TPR2_Q",,"Bool","1","1","UB 21000A7","100ms","1",,,,"","1"
"bDebug",,"Bool","1","1","UB 2101A40","100ms","1",,,,"","1"
"iZioAOItem",,"Int16","2","1","UW 2101A50","100ms","1",,,,"","1"
"xAOCalSuccess",,"Bool","1","1","UB 2101A41","100ms","1",,,,"","1"
"xAOCalFailed",,"Bool","1","1","UB 2101A42","100ms","1",,,,"","1"
"xCalAgain",,"Bool","1","1","UB 2101A43","100ms","1",,,,"","1"
"xCalAgainConfirm",,"Bool","1","1","UB 2101A44","100ms","1",,,,"","1"
"iZioAIItem",,"Int16","2","1","UW 2101AF0","100ms","1",,,,"","1"
"iZioAISel",,"Int16","2","1","UW 2101E90","100ms","1",,,,"","1"
"iZioDOItem",,"Int16","2","1","UW 2102050","100ms","1",,,,"","1"
"iZioTestState",,"Int16","2","1","UW 2102060","100ms","1",,,,"","1"
"iDOTestState",,"Int16","2","1","UW 2102070","100ms","1",,,,"","1"
