#变量导出文件（汇川）
#2025-03-01 13:36:39

#列 A:名称
#列 B:连接（如果为空，则是内部连接）
#列 C:数据类型（取决于连接，有以下几种类型：Int16 、UInt16、Int32、UInt32、Float、Double、Bool、String、WString、DateTime，类型区分大小写。）
#列 D:长度
#列 E:数组计数
#列 F:地址（取决于连接，寄存器名和数字之间的空格不能缺少。）
#列 G:采集周期
#列 H:采集模式（0=根据命令 1=循环使用（默认值） 2=循环连续）
#列 I:上限
#列 J:下限
#列 K:初始值（初始值类型取决于变量数据类型）
#列 L:注释
#列 M:变量组Id
#列 N:索引变量

名称,连接,数据类型,长度,数组计数,地址,采集周期,采集模式,上限,下限,初始值,注释,变量组Id,索引变量
"iWrBuf[81]","Via_Easy521","Int16","2","1","UW 2106F00","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[82]","Via_Easy521","Int16","2","1","UW 2106F10","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[83]","Via_Easy521","Int16","2","1","UW 2106F20","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[84]","Via_Easy521","Int16","2","1","UW 2106F30","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[85]","Via_Easy521","Int16","2","1","UW 2106F40","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[86]","Via_Easy521","Int16","2","1","UW 2106F50","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[87]","Via_Easy521","Int16","2","1","UW 2106F60","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[88]","Via_Easy521","Int16","2","1","UW 2106F70","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[89]","Via_Easy521","Int16","2","1","UW 2106F80","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[90]","Via_Easy521","Int16","2","1","UW 2106F90","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[91]","Via_Easy521","Int16","2","1","UW 2106FA0","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[92]","Via_Easy521","Int16","2","1","UW 2106FB0","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[93]","Via_Easy521","Int16","2","1","UW 2106FC0","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[94]","Via_Easy521","Int16","2","1","UW 2106FD0","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[95]","Via_Easy521","Int16","2","1","UW 2106FE0","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[96]","Via_Easy521","Int16","2","1","UW 2106FF0","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[97]","Via_Easy521","Int16","2","1","UW 2107000","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[98]","Via_Easy521","Int16","2","1","UW 2107010","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[99]","Via_Easy521","Int16","2","1","UW 2107020","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[100]","Via_Easy521","Int16","2","1","UW 2107030","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[101]","Via_Easy521","Int16","2","1","UW 2107040","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[102]","Via_Easy521","Int16","2","1","UW 2107050","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[103]","Via_Easy521","Int16","2","1","UW 2107060","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[104]","Via_Easy521","Int16","2","1","UW 2107070","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[105]","Via_Easy521","Int16","2","1","UW 2107080","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[106]","Via_Easy521","Int16","2","1","UW 2107090","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[107]","Via_Easy521","Int16","2","1","UW 21070A0","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[108]","Via_Easy521","Int16","2","1","UW 21070B0","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[109]","Via_Easy521","Int16","2","1","UW 21070C0","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[110]","Via_Easy521","Int16","2","1","UW 21070D0","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[111]","Via_Easy521","Int16","2","1","UW 21070E0","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[112]","Via_Easy521","Int16","2","1","UW 21070F0","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[113]","Via_Easy521","Int16","2","1","UW 2107100","100ms","1",,,,,"2","<Undefined>"
